Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	386	54.751773049645394	1.20553776357911E-15	Q8N1W1, Q9H2J7, Q5JTV8, Q9H0P0, Q8N183, Q96P16, P07738, Q6MZQ0, Q24JP5, Q8NC60, Q92539, Q01432, Q8NBU5, Q96SB4, Q96K49, O75362, O15226, Q07820, Q9UKF7, P55199, Q8TC44, O75896, Q01201, Q2TB10, P12757, Q92804, Q9UBW7, Q13315, Q16706, O95757, P53814, Q07352, O75787, Q86UA6, Q8N9T8, Q96QR8, P22692, Q99541, P14921, Q9UGH3, Q9NRG0, B2WTI3, P17676, Q96AQ6, O75391, O15258, Q8NB16, Q9H6F5, P01033, Q99519, O95425, Q9Y6E0, O15355, P18084, Q9C004, O95835, Q658P3, Q96B97, Q9H1E5, O15264, Q04864, O75460, Q9HBD1, Q8N0Z3, A0A0U1RQK7, Q969R2, P00749, Q9H501, Q9HAR2, P13611, P01034, Q8NAP3, P51946, Q9UQB8, Q96FZ2, Q7Z5Q1, Q9UEE5, Q86XZ4, Q53GG5, O00592, P01583, O15446, Q16270, E7EVY3, Q14997, Q9Y2D8, Q3T8J9, P09038, Q9UGC6, Q9UMF0, Q86WX3, P12111, Q9H1B7, Q6ULP2, P30533, P17844, A0A087WV88, P50479, O15021, P47712, Q99729, Q5TCZ1, Q16637, Q16143, Q9H939, M0QZM1, O15119, Q8WWQ0, O60488, P53794, Q92889, Q9C0H5, O15155, Q14978, P11387, P54132, Q9NW97, P49006, Q8WWN8, Q86U90, O95819, O43432, P48681, Q13015, P17302, Q8NEZ5, Q96S90, Q7Z7L8, Q12849, Q9BXI6, Q6FI81, Q8IWB1, P99999, P17568, Q16659, Q9HCJ6, P03956, Q8IXL6, Q9Y6M7, Q9H706, Q92626, Q96HP0, Q86UU1, F5H7V9, Q68CR1, Q86TU7, Q92968, Q9NVU0, Q8N4C8, Q96T58, P17948, P06744, Q7Z2K8, Q96G01, P04637, Q13393, Q8NEY1, Q8NFY4, Q9P287, Q8WUM9, Q53EP0, Q96T83, Q8WUJ0, P29084, Q92844, Q68D10, Q9HBI1, Q7Z417, Q00653, C9J4I9, P29372, Q96CC6, P11047, Q9UNL2, Q9NQZ2, Q9UPY8, Q96EB6, O60220, Q6DCA0, Q9NZI8, Q9Y5L4, Q9Y3L3, P03372, Q16763, Q7KZI7, Q7Z4Q2, Q9UJV9, Q99584, P21399, P17275, Q7Z589, P78417, O95391, O60711, O43182, Q9P107, O14981, Q15070, P61081, O43293, Q96JC9, P55210, P55211, Q00577, Q8NEF9, Q86V48, Q13951, P46087, Q8N4V1, Q8N1G1, Q03393, P41229, Q70UQ0, Q9NWQ8, O76080, P46531, Q709F0, Q8TF42, P00491, Q96MM6, Q9NYI0, P43146, Q9P032, Q9ULJ3, P35613, Q7L8L6, O76070, Q7L2E3, Q92686, Q92685, P24941, Q15582, P20810, Q5VYS8, Q9Y5U2, Q99653, Q8N1I0, Q96PD2, P10109, D6RBR6, P49748, P37840, P28290, P49366, O94992, Q8IU60, Q13823, Q9Y314, Q9UI15, Q9UQQ2, H3BUL5, Q9H5V8, Q9Y5T4, P05023, P05026, Q8WTS1, P49757, P31629, P52926, Q05209, P05106, P24821, P13498, Q14C86, O76003, P23677, Q8IY33, Q9UM00, Q96QE2, P39060, O60563, I3L2Y2, Q9NY27, O00327, Q9BQK8, Q9NQ29, P62877, Q9UHN6, P19971, P30281, O43768, Q8IUW5, P56181, Q9NR30, P12110, Q9Y426, Q8IYW5, A0A1B0GUL3, P09234, P17096, Q9HC21, Q96BH1, P80297, Q8N4X5, O76021, O43852, O43493, P24385, Q9NYT0, Q92466, P38936, O94851, Q9Y496, O43903, Q6W2J9, P08574, O75822, P05362, Q53GA4, Q7L0Y3, Q70EL2, Q71RC2, Q96AD5, Q6S5L8, Q9UET6, P24593, H3BUX2, O15403, O00469, P05231, Q9Y243, P43490, Q9H0G5, P55285, O60675, P09104, O00165, P12643, O94832, Q9GZS1, Q13506, P32004, Q9BXY0, O14523, Q8N8Z6, P53365, Q9UER7, Q92598, O60658, Q9GZT3, Q17RY0, O95168, Q8TCU6, Q5TDH0, Q6ZSY5, Q9Y282, Q9NPH3, Q86X02, O94808, Q96ER3, P13693, Q8NHQ9, Q9Y6Y0, Q8NHQ8, A0A1B0GTB0, P15121, Q9Y4X0, Q9UBS3, Q8TCT9, P60484, Q8NI22, Q9BQC3, Q9H0B6, P55040, O95677, O95084, Q96C01, Q9NYV6, O95477, O95372, Q5C9Z4, Q8N111, Q8TDW0, O95182, Q8TDW5, O95793, Q96C19, Q8TEV9, P43307, Q9BW61, P35555, Q9NYU1, Q93083, P15531, Q9BTE7, O60763, O43166, Q96JP5, O94921, Q8IW35, Q9UKK9	705	8246	20581	1.3665367949730194	4.884981308350689E-13	4.884981308350689E-13	1.6986412276764895E-12
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	34	4.822695035460993	6.425330935680312E-13	P27658, P05997, P20908, P39060, Q92626, P02462, P18084, P09038, F5H7V9, Q00653, P17301, P18564, C9J4I9, Q9UMF0, O00300, P11047, Q12946, Q02388, P25940, P12110, P12111, P08572, P05362, P35613, P35556, P35555, P05106, Q15582, P24821, P12109, P56199, Q86YB8, Q8TDX6, P21810, Q15063, P13611	644	196	16792	4.523133476993282	1.9589400102049126E-9	1.9589400102049126E-9	1.1589951220969397E-9
REACTOME_PATHWAY	R-HSA-216083:R-HSA-216083	21	2.9787234042553195	2.648587197384198E-10	P27658, Q02388, P25940, P05997, P12110, P12111, P20908, P08572, P05362, P35613, P39060, P35555, P05106, P02462, P18084, P24821, F5H7V9, P18564, P17301, P12109, P56199, Q9UMF0	383	86	9075	5.785870423219382	1.6924468893009248E-7	1.6924468893009248E-7	3.945466620081106E-7
UP_TISSUE	Placenta	193	27.375886524822697	2.36370873456141E-9	P17275, Q9H2J7, P16278, Q7Z589, Q99417, Q6DN12, P78417, Q9NP80, Q99988, Q9H0P0, Q96P16, P17900, Q24JP5, Q8NC60, P61081, P52789, P41134, Q8NBU5, Q02388, P10619, P78539, P35869, Q07820, O75896, Q9NUL7, Q16831, Q15063, P05997, Q9Y6G3, P41221, Q99538, P12757, Q9BRX8, Q8TF42, P40616, Q86UA6, Q96MM6, Q13219, P22692, Q9ULJ3, Q7L2E3, Q92685, P24941, P20810, Q5VYS8, Q9UGH3, Q9NRG0, Q969G6, Q16718, P17676, P10109, P03891, D6RBR6, P49748, Q99519, P15309, O15355, Q9Y314, Q8TBM8, P05120, O00300, Q9H5V8, H3BUL5, P05023, Q6UW68, O75326, P19440, P05106, Q9H501, Q14C86, P13611, P01034, Q8WVF1, Q96TA2, Q9UM00, Q8TAL6, P39060, Q9UQB8, Q9NWM0, Q9UEE5, Q9Y4C5, Q01459, P00750, P14210, P62877, P18065, P19971, P30281, O43768, Q8IUW5, P12110, A0A1B0GUL3, P17096, Q15437, P12109, Q96BH1, P80297, Q8N4X5, O76021, O43493, P24385, Q9Y3E5, E7EVY3, Q3T8J9, P02462, P09038, O75144, Q9NV31, Q9HAV7, P12111, Q9NV23, P08572, P35354, P30533, Q9BZQ6, Q99729, Q71RC2, O60687, Q16637, M0QZM1, P24593, O15118, H3BUX2, O60488, P53794, Q9C0H5, O15155, P11387, Q14978, O00469, Q86U90, P48681, O00754, P30046, O60675, P09104, O94766, Q7Z6M2, Q9GZS1, P25940, P50452, P04062, Q96LT7, Q6FI81, Q16659, Q9UER7, Q13126, P20908, Q8NFW8, Q86UU1, P27487, Q86TU7, Q9NPH3, P17948, Q12766, Q9ULX9, P13693, O95299, Q9Y5J7, P61923, Q8TDX6, Q9Y4X0, O95150, P15121, Q8TCT9, Q8WUM9, P09341, Q53EP0, P21589, Q92844, Q96A26, Q9BY76, O95477, Q8NBJ7, O95372, Q96CC6, P11047, Q9BUD6, Q8TDW5, Q86SQ9, O95793, O94923, P07858, P54709, P35556, P43307, P35555, Q9BW61, Q9Y5L4, P48307, Q7KZI7, Q7LG56, Q9UJV9, Q9UKK9	690	3558	18912	1.4867561160397877	6.216552177473744E-7	6.216552177473744E-7	3.095162914856786E-6
UP_KEYWORDS	Electron transport	20	2.8368794326241136	4.206142317800588E-9	P56181, P08574, P14927, P51970, Q9NX14, O00217, P99999, P17568, O95168, O95299, P13498, Q86YB8, Q16718, Q9H1E5, P03891, P10109, O75380, H3BUX2, O95182, O43920	705	108	20581	5.40609403729971	1.6824555175709577E-6	8.412281126135568E-7	5.866751950911464E-6
GOTERM_BP_DIRECT	GO:0030574~collagen catabolic process	16	2.269503546099291	1.3251985377753274E-8	Q02388, P27658, P25940, P05997, P12110, P20908, P12111, P08572, P39060, P07858, P07711, Q99715, P02462, P12109, P25774, P03956	644	64	16792	6.5186335403726705	4.040448746267522E-5	2.0202447800765633E-5	2.3905547230640423E-5
UP_KEYWORDS	Respiratory chain	15	2.127659574468085	2.0913000138109612E-8	P56181, P08574, P14927, P51970, Q9NX14, O00217, P99999, P17568, O95168, O95299, Q16718, P03891, O75380, O95182, O43920	705	63	20581	6.950692333671057	8.365165143020548E-6	2.78839615619475E-6	2.9169571880149903E-5
REACTOME_PATHWAY	R-HSA-2022090:R-HSA-2022090	14	1.9858156028368796	3.055461955384563E-8	Q02388, P27658, P25940, P05997, P12110, P20908, P12111, P08572, P39060, P07858, P07711, P02462, P12109, P25774	383	46	9075	7.211374730389375	1.952421155959616E-5	9.762153429626608E-6	4.5515669211404486E-5
UP_KEYWORDS	Mitochondrion	75	10.638297872340425	4.09020504438769E-8	P49748, Q99417, Q9Y3E5, Q9GZT3, Q8N183, Q16775, O95168, Q8NC60, Q15070, P52789, Q9Y5T4, P08574, Q9HAV7, Q96GW9, Q9NRP2, Q9NX14, P51970, O00217, Q07820, Q7L0Y3, Q9UKU7, Q8WVM0, P04637, O95299, Q9Y5J7, Q9NUL7, P82932, Q9NZ45, Q9NQ88, O60488, H3BUX2, Q5SXM8, O00411, Q96H78, Q14410, Q96TA2, Q9Y6G3, Q96QE5, Q86U90, Q96A26, Q709F0, Q9H078, Q9BV23, P29372, O00165, P0C7P0, A8MTT3, O75380, O43920, O95182, P56181, Q96EB6, Q12849, Q8N5K1, O60220, Q9Y619, Q9P032, P14927, Q7L8L6, Q7L2E3, Q6FI81, Q9HD23, Q9Y5L4, Q9HC21, P99999, P17568, O43819, Q9H9B4, Q9UMS0, Q6IN84, Q16718, P32189, P10109, P03891, C9JRZ8	705	1119	20581	1.9566292092103512	1.636068666244217E-5	4.090196760064835E-6	5.7050405910530344E-5
REACTOME_PATHWAY	R-HSA-3000178:R-HSA-3000178	17	2.4113475177304964	6.235415238553162E-8	P25940, P05997, P12110, P12111, P20908, P08572, P05106, P02462, P18084, P24821, F5H7V9, P17301, P12109, P18564, P21810, P11047, P13611, P01137	383	75	9075	5.370757180156658	3.984351085017934E-5	1.3281346676774497E-5	9.288580233857147E-5
