Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005615~extracellular space	39	29.32330827067669	7.795639376583872E-14	ALDR_HUMAN, ANGL4_HUMAN, UROK_HUMAN, FGF2_HUMAN, HGF_HUMAN, FLRT3_HUMAN, CATL1_HUMAN, TF_HUMAN, CYTC_HUMAN, GDN_HUMAN, CO7A1_HUMAN, GROA_HUMAN, GDF15_HUMAN, IL1B_HUMAN, IL8_HUMAN, NAMPT_HUMAN, LRC17_HUMAN, MMP3_HUMAN, BGH3_HUMAN, TSG6_HUMAN, CXCL5_HUMAN, CSPG2_HUMAN, PAI2_HUMAN, ICAM1_HUMAN, PTX3_HUMAN, STC1_HUMAN, IL1A_HUMAN, CATB_HUMAN, VGFR1_HUMAN, TR11B_HUMAN, CATZ_HUMAN, SYUA_HUMAN, TNAP2_HUMAN, PAPP1_HUMAN, CCL20_HUMAN, TIMP1_HUMAN, CATS_HUMAN, SEM7A_HUMAN, TENA_HUMAN	131	1347	18224	4.02781414168891	1.3950840482834792E-11	1.3950840482834792E-11	9.591216709736727E-11
UP_SEQ_FEATURE	signal peptide	52	39.097744360902254	6.694225661367945E-10	CO5A1_HUMAN, ANGL4_HUMAN, IL18R_HUMAN, IBP5_HUMAN, CATL1_HUMAN, INHBA_HUMAN, TF_HUMAN, CYTC_HUMAN, WLS_HUMAN, GDN_HUMAN, LRC17_HUMAN, BGH3_HUMAN, T132A_HUMAN, TSG6_HUMAN, MMP1_HUMAN, PAI2_HUMAN, AGAL_HUMAN, STC1_HUMAN, CATB_HUMAN, VGFR1_HUMAN, TR11B_HUMAN, IDS_HUMAN, PAPP1_HUMAN, PGH2_HUMAN, CADH6_HUMAN, SEM7A_HUMAN, UROK_HUMAN, APCDL_HUMAN, CO4A2_HUMAN, FLRT3_HUMAN, HGF_HUMAN, G8JLL2_HUMAN, CO7A1_HUMAN, GROA_HUMAN, IL1AP_HUMAN, GDF15_HUMAN, IL8_HUMAN, MMP3_HUMAN, CXCL5_HUMAN, CSPG2_HUMAN, ITA1_HUMAN, ICAM1_HUMAN, TFPI2_HUMAN, PTX3_HUMAN, CATZ_HUMAN, G5E9Z6_HUMAN, CCL20_HUMAN, CDCP1_HUMAN, TIMP1_HUMAN, ERO1B_HUMAN, CATS_HUMAN, TENA_HUMAN	131	3346	20063	2.3801371581881976	3.501079154366593E-7	3.501079154366593E-7	9.700905967413576E-7
UP_KEYWORDS	Secreted	38	28.57142857142857	1.1780595495439305E-9	CO5A1_HUMAN, ANGL4_HUMAN, UROK_HUMAN, FGF2_HUMAN, IBP5_HUMAN, CO4A2_HUMAN, FLRT3_HUMAN, INHBA_HUMAN, TF_HUMAN, CYTC_HUMAN, GDN_HUMAN, CO7A1_HUMAN, GROA_HUMAN, IL1AP_HUMAN, GDF15_HUMAN, IL1B_HUMAN, IL8_HUMAN, NAMPT_HUMAN, LRC17_HUMAN, MMP3_HUMAN, BGH3_HUMAN, CXCL5_HUMAN, MMP1_HUMAN, CSPG2_HUMAN, PAI2_HUMAN, TFPI2_HUMAN, PTX3_HUMAN, STC1_HUMAN, IL1A_HUMAN, CATB_HUMAN, VGFR1_HUMAN, TR11B_HUMAN, SYUA_HUMAN, PAPP1_HUMAN, CCL20_HUMAN, TIMP1_HUMAN, CDCP1_HUMAN, TENA_HUMAN	133	1965	20581	2.9925118138858595	2.7920007183990236E-7	2.7920007183990236E-7	1.517548819940373E-6
UP_KEYWORDS	Signal	57	42.857142857142854	5.046489658119058E-9	CO5A1_HUMAN, IL18R_HUMAN, ANGL4_HUMAN, IBP5_HUMAN, CATL1_HUMAN, INHBA_HUMAN, TF_HUMAN, CYTC_HUMAN, WLS_HUMAN, GDN_HUMAN, CD82_HUMAN, LRC17_HUMAN, BGH3_HUMAN, T132A_HUMAN, TSG6_HUMAN, MMP1_HUMAN, PAI2_HUMAN, AGAL_HUMAN, STC1_HUMAN, CATB_HUMAN, VGFR1_HUMAN, TR11B_HUMAN, IDS_HUMAN, RAC2_HUMAN, PAPP1_HUMAN, PGH2_HUMAN, CADH6_HUMAN, SEM7A_HUMAN, UROK_HUMAN, GFPT2_HUMAN, APCDL_HUMAN, CO4A2_HUMAN, FLRT3_HUMAN, HGF_HUMAN, G8JLL2_HUMAN, ICOSL_HUMAN, CO7A1_HUMAN, IL1AP_HUMAN, GROA_HUMAN, GDF15_HUMAN, IL8_HUMAN, MMP3_HUMAN, CXCL5_HUMAN, CSPG2_HUMAN, ITA1_HUMAN, ICAM1_HUMAN, TFPI2_HUMAN, PTX3_HUMAN, CATZ_HUMAN, G5E9Z6_HUMAN, CP2S1_HUMAN, CCL20_HUMAN, CDCP1_HUMAN, TIMP1_HUMAN, ERO1B_HUMAN, CATS_HUMAN, TENA_HUMAN	133	4160	20581	2.1202953296703293	1.1960173397218554E-6	5.980088486623458E-7	6.500770133310851E-6
GOTERM_CC_DIRECT	GO:0005576~extracellular region	35	26.31578947368421	5.203819954241184E-9	CO5A1_HUMAN, ANGL4_HUMAN, UROK_HUMAN, FGF2_HUMAN, IBP5_HUMAN, CO4A2_HUMAN, HGF_HUMAN, CATL1_HUMAN, INHBA_HUMAN, CYTC_HUMAN, GDN_HUMAN, CO7A1_HUMAN, GROA_HUMAN, IL1AP_HUMAN, GDF15_HUMAN, IL1B_HUMAN, IL8_HUMAN, MMP3_HUMAN, BGH3_HUMAN, CXCL5_HUMAN, MMP1_HUMAN, CSPG2_HUMAN, PAI2_HUMAN, AGAL_HUMAN, PTX3_HUMAN, IL1A_HUMAN, CATB_HUMAN, TR11B_HUMAN, SYUA_HUMAN, PAPP1_HUMAN, CCL20_HUMAN, TIMP1_HUMAN, CDCP1_HUMAN, CATS_HUMAN, TENA_HUMAN	131	1610	18224	3.0242283438433457	9.314833361306896E-7	4.6574177658964544E-7	6.403832519819019E-6
UP_KEYWORDS	Glycoprotein	59	44.3609022556391	1.7872817220155287E-8	IL18R_HUMAN, ANGL4_HUMAN, IBP5_HUMAN, CATL1_HUMAN, INHBA_HUMAN, TF_HUMAN, CYTC_HUMAN, GDN_HUMAN, CD82_HUMAN, DHI1_HUMAN, T132A_HUMAN, TSG6_HUMAN, MMP1_HUMAN, PLPL2_HUMAN, PAI2_HUMAN, CEBPB_HUMAN, AGAL_HUMAN, STC1_HUMAN, CHST2_HUMAN, IL1A_HUMAN, CATB_HUMAN, VGFR1_HUMAN, TR11B_HUMAN, IDS_HUMAN, RAC2_HUMAN, PAPP1_HUMAN, PGH2_HUMAN, CADH6_HUMAN, AT1B1_HUMAN, SEM7A_HUMAN, LRC8C_HUMAN, UROK_HUMAN, APCDL_HUMAN, UT1_HUMAN, CO4A2_HUMAN, FLRT3_HUMAN, HGF_HUMAN, G8JLL2_HUMAN, ICOSL_HUMAN, CO7A1_HUMAN, IL1AP_HUMAN, GDF15_HUMAN, MMP3_HUMAN, CSPG2_HUMAN, ITA1_HUMAN, EDEM1_HUMAN, ESR1_HUMAN, ICAM1_HUMAN, TFPI2_HUMAN, PTX3_HUMAN, S6A15_HUMAN, S23A2_HUMAN, CATZ_HUMAN, G5E9Z6_HUMAN, TIMP1_HUMAN, CDCP1_HUMAN, ERO1B_HUMAN, CATS_HUMAN, TENA_HUMAN	133	4551	20581	2.006134320640097	4.235848749201132E-6	1.411951576657522E-6	2.302334397574768E-5
UP_SEQ_FEATURE	disulfide bond	44	33.08270676691729	7.640002144097935E-8	IL18R_HUMAN, ANGL4_HUMAN, UROK_HUMAN, IBP5_HUMAN, CO4A2_HUMAN, HGF_HUMAN, CATL1_HUMAN, INHBA_HUMAN, TF_HUMAN, CYTC_HUMAN, G8JLL2_HUMAN, CO7A1_HUMAN, GROA_HUMAN, IL1AP_HUMAN, GDF15_HUMAN, IL8_HUMAN, MMP3_HUMAN, BGH3_HUMAN, TSG6_HUMAN, CXCL5_HUMAN, MMP1_HUMAN, CSPG2_HUMAN, ITA1_HUMAN, PAI2_HUMAN, ICAM1_HUMAN, TFPI2_HUMAN, PTX3_HUMAN, AGAL_HUMAN, STC1_HUMAN, CATB_HUMAN, TR11B_HUMAN, CATZ_HUMAN, VGFR1_HUMAN, G5E9Z6_HUMAN, PAPP1_HUMAN, PGH2_HUMAN, CCL20_HUMAN, TIMP1_HUMAN, CDCP1_HUMAN, AT1B1_HUMAN, ERO1B_HUMAN, CATS_HUMAN, SEM7A_HUMAN, TENA_HUMAN	131	2917	20063	2.310153430665721	3.995641445042608E-5	1.9978406793574877E-5	1.1071468714041188E-4
UP_KEYWORDS	Disulfide bond	48	36.09022556390977	1.0871737110957373E-7	CO5A1_HUMAN, IL18R_HUMAN, ANGL4_HUMAN, UROK_HUMAN, IBP5_HUMAN, CO4A2_HUMAN, FLRT3_HUMAN, HGF_HUMAN, CATL1_HUMAN, INHBA_HUMAN, TF_HUMAN, CYTC_HUMAN, G8JLL2_HUMAN, ICOSL_HUMAN, CO7A1_HUMAN, GROA_HUMAN, IL1AP_HUMAN, GDF15_HUMAN, IL8_HUMAN, MMP3_HUMAN, BGH3_HUMAN, TSG6_HUMAN, CXCL5_HUMAN, MMP1_HUMAN, CSPG2_HUMAN, ITA1_HUMAN, PAI2_HUMAN, ICAM1_HUMAN, TFPI2_HUMAN, PTX3_HUMAN, AGAL_HUMAN, STC1_HUMAN, CHST2_HUMAN, CATB_HUMAN, TR11B_HUMAN, CATZ_HUMAN, VGFR1_HUMAN, G5E9Z6_HUMAN, PAPP1_HUMAN, PGH2_HUMAN, CCL20_HUMAN, TIMP1_HUMAN, CDCP1_HUMAN, AT1B1_HUMAN, ERO1B_HUMAN, CATS_HUMAN, SEM7A_HUMAN, TENA_HUMAN	133	3434	20581	2.162996308476491	2.576568641166066E-5	6.441483841768125E-6	1.4004709210091448E-4
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	16	12.030075187969924	1.1683374254977698E-7	CEBPB_HUMAN, PTX3_HUMAN, CHST2_HUMAN, IL1A_HUMAN, AF1L2_HUMAN, TR11B_HUMAN, IL1AP_HUMAN, GROA_HUMAN, IL1B_HUMAN, IL8_HUMAN, PGH2_HUMAN, CCL20_HUMAN, NFKB2_HUMAN, TSG6_HUMAN, CXCL5_HUMAN, SEM7A_HUMAN	124	379	16792	5.716912077623627	1.3002750876667246E-4	1.3002750876667246E-4	1.8711187217412828E-4
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	12	9.022556390977442	2.043422164125806E-7	CSPG2_HUMAN, CO5A1_HUMAN, ITA1_HUMAN, TR11B_HUMAN, ICAM1_HUMAN, CO7A1_HUMAN, FGF2_HUMAN, CO4A2_HUMAN, NFKB2_HUMAN, BGH3_HUMAN, ERO1B_HUMAN, TENA_HUMAN	124	196	16792	8.290980908492429	2.274070491531388E-4	1.1370998955739786E-4	3.272584504054876E-4
